#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
25.0%,24999875,-451801.5707648359,86206.01053663902,294.246020634275,348.2409948773981,32.2
25.2%,25199874,-452289.54332057526,87175.61191809969,297.55555028679316,347.7914973920545,32.2
25.4%,25399873,-451950.04817744344,87412.82194460061,298.3652166420502,347.1809116185005,32.2
25.6%,25599872,-451874.7681100257,87041.47713561097,297.0977095198878,349.0017502884441,32.2
25.8%,25799871,-452765.1820082767,87593.98962206638,298.9835942682738,348.1641572603415,32.2
26.0%,25999870,-452414.246401323,87763.59549019497,299.56250809878736,347.5035389969083,32.2
26.2%,26199869,-451246.86347119696,87676.29393731133,299.2645226755983,347.87899142666197,32.2
26.4%,26399868,-451229.8684516959,87528.07925312128,298.75862313621576,347.13060478896637,32.2
26.6%,26599867,-451984.10739241587,88182.71980766184,300.99310048785594,347.3287690544412,32.2
26.8%,26799866,-452203.8568758266,87506.50336061206,298.6849783813669,349.0670455787038,32.2
27.0%,26999865,-450869.3935358031,87003.71534134843,296.96881760591805,349.3194699594413,32.2
27.2%,27199864,-452066.3991782903,87860.63719250998,299.89373946611335,348.5251911575679,32.2
27.4%,27399863,-451504.0207252572,86507.7062274348,295.2757951929926,349.00133512312186,32.2
27.6%,27599862,-452447.86517398246,87284.8804906219,297.92851549472823,347.76046621254596,32.2
27.8%,27799861,-451760.07450295053,87176.71131939394,297.55930286104984,349.032487952481,32.2
28.0%,27999860,-451746.74297281494,87177.59326824301,297.5623132072848,348.3125769046292,32.2
28.2%,28199859,-451578.8457600898,88034.64214885083,300.4876686556816,347.27164585178826,32.2
28.4%,28399858,-451282.1033074069,87596.68222021282,298.99278488369407,348.80973819073967,32.2
28.6%,28599857,-451937.55009583896,87858.48599560073,299.8863968095374,347.61316445980907,32.2
28.8%,28799856,-451717.8340891106,87334.32200283147,298.0972736605596,346.99863164594314,32.2
29.0%,28999855,-451675.2075910312,87464.56982317293,298.5418471026339,347.4899742061785,32.2
29.2%,29199854,-452676.1498440509,88323.64872511546,301.4741316003606,347.7156017602936,32.2
29.4%,29399853,-451691.7095040302,86751.5860805983,296.10822759369773,347.430666965063,32.2
29.6%,29599852,-451949.7600135952,87214.89681340661,297.68964098468234,347.6982419728501,32.2
29.8%,29799851,-451388.1965829511,87456.32899957732,298.5137187907602,347.86588275566845,32.2
30.0%,29999850,-451328.980998544,86622.02701394411,295.6660050669531,348.7300424026704,32.2
30.2%,30199849,-450213.7700122148,87795.93832938839,299.67290355345966,350.1761619524391,32.2
30.4%,30399848,-452732.6978130345,86962.99639386038,296.8298320736078,346.58893882780546,32.2
30.6%,30599847,-452060.67930287356,87364.76020248192,298.2011680301826,347.63218899339034,32.2
30.8%,30799846,-451432.815403766,86864.51980469443,296.4937030228915,347.9457343906833,32.2
31.0%,30999845,-450741.30416349834,87357.83909169398,298.17754427941344,347.6912856099085,32.2
31.2%,31199844,-453206.6262617749,86855.47658854071,296.4628359133895,346.3068176294521,32.2
31.4%,31399843,-451732.31464454765,87807.67302478163,299.71295745922936,348.123458560987,32.2
31.6%,31599842,-451180.45511910506,87692.61897929688,299.3202447605322,347.2544577497112,32.2
31.8%,31799841,-450639.0398683697,87450.61002875507,298.4941982910167,348.7207116638306,32.2
32.0%,31999840,-451438.17767892126,87885.06312515878,299.9771122313932,348.99626259217206,32.2
32.2%,32199839,-451455.113904139,87839.55218888476,299.82177025685337,349.1056358255981,32.2
32.4%,32399838,-451968.7578149424,87328.99653908715,298.07909631416527,347.7773891734054,32.2
32.6%,32599837,-451564.3351593651,87382.85614629643,298.26293471470836,348.3177655363713,32.2
32.8%,32799836,-452119.321100079,87543.87998198593,298.8125555889833,348.1026962486764,32.2
33.0%,32999835,-451811.2322871946,86902.34684877534,296.62281765334336,346.0949910938649,32.2
33.2%,33199834,-451783.16945685213,87550.93445293885,298.836634536526,345.94874594434305,32.3
33.4%,33399833,-451848.5116271507,87584.3545440005,298.9507069630646,346.75515959095605,32.3
33.6%,33599832,-451578.65971739264,87971.14969786012,300.27095057618766,347.9505764579698,32.3
33.8%,33799831,-451974.57961886795,87585.58733972465,298.9549148510509,348.5955861966491,32.3
34.0%,33999830,-452356.3737784601,88099.62955129513,300.7094894364085,347.05126062122736,32.3
34.2%,34199829,-451826.32392931264,87563.07919392575,298.8780880463774,348.04303503703596,32.3
34.4%,34399828,-452039.29056974454,87316.6466879471,298.0369427041007,348.78004568495817,32.3
34.6%,34599827,-452211.6184072718,87231.49971339689,297.74631147926516,347.87821286443545,32.3
34.8%,34799826,-452770.75985112786,87502.76566034046,298.6722205304422,346.7554379150929,32.3
35.0%,34999825,-452206.1714123697,87568.54259227682,298.8967362034367,349.29515842018117,32.3
35.2%,35199824,-452119.73899924103,86779.32862144755,296.20292090100145,346.8370809653767,32.2
35.4%,35399823,-451119.836730374,87125.9541630653,297.3860540217237,347.8240693967346,32.2
35.6%,35599822,-450843.4746651212,87211.62601340277,297.6784767992684,349.4656667637847,32.2
35.8%,35799821,-452178.34536040016,86831.05740380217,296.37948618067696,350.7644289643543,32.2
36.0%,35999820,-451711.32756662834,88055.52339792803,300.5589423918003,348.16090931633346,32.2
36.2%,36199819,-452196.574706797,87163.97643821273,297.5158350322118,348.220615785719,32.2
36.4%,36399818,-453182.168539227,86670.10218524898,295.8300995165131,347.830879891756,32.2
36.6%,36599817,-451425.8372519477,87276.42041703605,297.899638819292,348.9114228808043,32.2
36.8%,36799816,-452089.95369425137,86935.77011416771,296.7369009147898,347.11721783718053,32.2
37.0%,36999815,-451311.3355054837,87205.71166470111,297.65828941837384,347.1750475949201,32.2
37.2%,37199814,-452403.8359996211,87511.51734515786,298.702092559264,346.4108339537064,32.2
37.4%,37399813,-451891.00337180356,87014.0991169218,297.00426043203424,349.00408998423785,32.2
37.6%,37599812,-451026.6713695158,87003.939942856,296.9695842357553,347.43666650846075,32.2
37.8%,37799811,-451590.0118439342,87470.22018867325,298.56113343259216,348.2898290863981,32.2
38.0%,37999810,-451360.7740080296,86723.38546009385,296.01197072818223,347.99171977256634,32.2
38.2%,38199809,-452112.3518488994,87173.83029122435,297.5494690795193,346.93700598591613,32.2
38.4%,38399808,-451895.13652856834,87330.41441388661,298.08393593050874,348.76483231556506,32.2
38.6%,38599807,-451418.7827498182,87175.12041820906,297.55387265566213,349.396745634279,32.2
38.8%,38799806,-452788.33450557385,87695.09183285324,299.32868532417785,346.62625266966995,32.2
39.0%,38999805,-451960.8298826008,87274.66515268598,297.89364759493367,347.0581515157799,32.2
39.2%,39199804,-450806.28544924455,87090.17043295782,297.2639138122182,348.84032326101345,32.2
39.4%,39399803,-452858.8848520494,87582.57479356689,298.94463216062854,346.1492397046445,32.2
39.6%,39599802,-451551.6102027255,87485.59353573731,298.613607107795,349.3645365877396,32.2
39.8%,39799801,-452009.8074228973,87104.02931574514,297.3112181832849,348.3616888502043,32.2
40.0%,39999800,-452147.63459120225,87086.1439067118,297.2501701147951,346.85345145461577,32.2
40.2%,40199799,-452546.8215866289,86696.82323511175,295.92130617995036,348.3001467120001,32.2
40.4%,40399798,-452857.0665933001,88028.98141641717,300.46834694038455,347.04061539609296,32.2
40.6%,40599797,-452816.3753372007,86818.02125319815,296.33499003225586,347.9165562089513,32.2
40.8%,40799796,-452428.76401852164,87520.24579670886,298.731885286235,350.0373329988233,32.2
41.0%,40999795,-453304.6246814411,88139.6453052857,300.8460747661449,346.93342413746643,32.2
41.2%,41199794,-452523.6125817024,87277.52712909586,297.9034163473039,348.47162475198894,32.2
41.4%,41399793,-451965.4637451344,87995.6100429371,300.3544408010274,349.82591167927444,32.2
41.6%,41599792,-451279.3708788296,87782.97998602677,299.62867298363705,348.86642646381347,32.2
41.8%,41799791,-452850.642477999,86834.72102198913,296.3919911680429,348.506463439448,32.2
42.0%,41999790,-451771.97384696826,87489.41859774973,298.6266631495817,348.4935832985306,32.2
42.2%,42199789,-451379.0765558835,87230.50980226044,297.74293262655095,347.72715098469126,32.2
42.4%,42399788,-451035.19870893285,87156.36269200675,297.4898471166444,348.774791628189,32.2
42.6%,42599787,-452062.5703540696,87560.95159648928,298.87082594162047,350.06826251976577,32.2
42.8%,42799786,-451214.5040921159,87451.70995864503,298.4979526695233,347.5416800097606,32.2
43.0%,42999785,-452301.95376267144,88183.29757330741,300.9950725689326,347.31361734070936,32.2
43.2%,43199784,-450902.61130898213,86452.83870561651,295.0885164886818,346.7395389631251,32.2
43.4%,43399783,-452654.45325541636,86752.81548569971,296.1124239085091,349.05174034696614,32.2
43.6%,43599782,-451256.90778968064,87137.87942650088,297.4267583912808,347.47814008572027,32.2
43.8%,43799781,-451649.79123516567,87833.26609326887,299.8003139963352,348.0679332807419,32.2
44.0%,43999780,-450703.45023311535,86820.53325139836,296.34356420788066,349.5889777344857,32.2
44.2%,44199779,-451037.92061445815,87181.87806598004,297.57693845992657,348.2054592644447,32.2
44.4%,44399778,-451571.2718433603,86748.97674827711,296.09932118859626,347.69637801986363,32.2
